"DOT_category","dot_title_norm","SOC","soc_title_norm"
"631","hydroelectric machinery mechanic helper","49-9098.00","helpers installation maintenance and repair workers"
"632","artillery maintenance supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"632","aircraft armament mechanic","55-3014.00","artillery and missile crew members"
"632","gunsmith","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"632","gauge and weigh machine adjuster","51-9161.00","computer numerically controlled tool operators"
"632","gauge and weigh machine adjuster","51-9162.00","computer numerically controlled tool programmers"
"632","gauge and weigh machine adjuster","51-9199.00","production workers all other"
"632","inspecting machine adjuster","49-9041.00","industrial machinery mechanics"
"632","primer waterproofing machine adjuster","51-9124.00","coating painting and spraying machine setters operators and tenders"
"632","gun synchronizer","49-9099.00","installation maintenance and repair workers all other"
"632","inspector firearms","51-9061.00","inspectors testers sorters samplers and weighers"
"632","ordnance artificer helper","49-9098.00","helpers installation maintenance and repair workers"
"633","office machine service supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"633","assembly technician","49-2011.00","computer automated teller and office machine repairers"
"633","scale mechanic","49-9041.00","industrial machinery mechanics"
"637","supervisor cooler service","49-1011.00","first line supervisors of mechanics installers and repairers"
"637","air conditioning installer servicer window unit","49-9031.00","home appliance repairers"
"637","heating and air conditioning installer servicer","49-9021.00","heating air conditioning and refrigeration mechanics and installers"
"637","industrial gas servicer","49-9012.00","control and valve installers and repairers except mechanical door"
"637","solar energy system installer","47-2152.04","solar thermal installers and technicians"
"637","pump erector","49-9041.00","industrial machinery mechanics"
"637","industrial gas servicer helper","49-9098.00","helpers installation maintenance and repair workers"
"637","quality control technician","51-9061.00","inspectors testers sorters samplers and weighers"
"638","fuel system maintenance supervisor","49-1011.00","first line supervisors of mechanics installers and repairers"
"638","machine assembler supervisor","51-1011.00","first line supervisors of production and operating workers"
"638","automated equipment engineer technician","49-9044.00","millwrights"
"638","pinsetter mechanic automatic","49-9043.00","maintenance workers machinery"
"638","field service technician","17-3024.01","robotics technicians"
"638","machine repairer maintenance","49-9041.00","industrial machinery mechanics"
"638","fire fighting equipment specialist","49-9071.00","maintenance and repair workers general"
"638","machine assembler","51-2031.00","engine and other machine assemblers"
"638","millwright helper","49-9098.00","helpers installation maintenance and repair workers"
