applicant_id,DOT_category,job_norm,predicted_SOC,predicted_SOC_title,similarity_score,method,alt1_SOC,alt1_SOC_title,alt1_score,alt2_SOC,alt2_SOC_title,alt2_score,alt3_SOC,alt3_SOC_title,alt3_score
156397,161.0,sr product and business insights a,13-1011.00,agents and business managers of artists performers and athletes,0.2702696621417999,global_similarity,13-1011.00,agents and business managers of artists performers and athletes,0.2702696621417999,13-1011.00,agents and business managers of artists performers and athletes,0.26723089814186096,25-1011.00,business teachers postsecondary,0.2422817200422287
156469,30.0,senior backend data engineer,15-1252.00,software developers,0.4082730710506439,global_similarity,15-1252.00,software developers,0.4082730710506439,15-1251.00,computer programmers,0.3249056935310364,51-9161.00,computer numerically controlled tool operators,0.32160714268684387
156705,7.0,controls engineer,17-3013.00,mechanical drafters,0.3354808986186981,global_similarity,17-3013.00,mechanical drafters,0.3354808986186981,17-2199.08,robotics engineers,0.323006808757782,49-1011.00,first line supervisors of mechanics installers and repairers,0.25138333439826965
157003,30.0,associate manager,25-4012.00,curators,0.39971914887428284,global_similarity,25-4012.00,curators,0.39971914887428284,43-4081.00,hotel motel and resort desk clerks,0.21589156985282898,11-9199.00,managers all other,0.14565178751945496
157022,3.0,rf field intergration engineer,49-9061.00,camera and photographic equipment repairers,0.3089096248149872,global_similarity,49-9061.00,camera and photographic equipment repairers,0.3089096248149872,17-2171.00,petroleum engineers,0.28380027413368225,17-3024.01,robotics technicians,0.235181987285614
157225,30.0,strategic business developer,51-9199.00,production workers all other,0.32397979497909546,global_similarity,51-9199.00,production workers all other,0.32397979497909546,25-1011.00,business teachers postsecondary,0.3198319375514984,51-9161.00,computer numerically controlled tool operators,0.30860134959220886
157383,30.0,software engineer mobile soc,15-1252.00,software developers,0.6106160879135132,global_similarity,15-1252.00,software developers,0.6106160879135132,15-1253.00,software quality assurance analysts and testers,0.4800652861595154,15-1221.00,computer and information research scientists,0.4074830114841461
157789,39.0,programmer analyst,15-1211.00,computer systems analysts,0.6076332330703735,global_similarity,15-1211.00,computer systems analysts,0.6076332330703735,15-1251.00,computer programmers,0.22645968198776245,15-1299.01,web administrators,0.2142922729253769
157980,30.0,software developers applications,15-1252.00,software developers,0.678634762763977,global_similarity,15-1252.00,software developers,0.678634762763977,15-1253.00,software quality assurance analysts and testers,0.24340860545635223,15-1254.00,web developers,0.20860140025615692
158496,30.0,research scientist engineer,11-9121.01,clinical research coordinators,0.25502869486808777,global_similarity,11-9121.01,clinical research coordinators,0.25502869486808777,15-1211.00,computer systems analysts,0.24909476935863495,19-1011.00,animal scientists,0.24686698615550995
158573,30.0,specialized technology consulting,11-9041.01,biofuels biodiesel technology and product development managers,0.28119951486587524,global_similarity,11-9041.01,biofuels biodiesel technology and product development managers,0.28119951486587524,11-1011.00,chief executives,0.0,11-1011.00,chief executives,0.0
158859,30.0,creative video producer,27-2012.00,producers and directors,0.26555442810058594,global_similarity,27-2012.00,producers and directors,0.26555442810058594,11-2011.00,advertising and promotions managers,0.18909130990505219,27-3043.05,poets lyricists and creative writers,0.18441857397556305
158893,30.0,software development engineer syst,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
159049,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
159402,30.0,machine learnig research engineer,17-2111.02,fire prevention and protection engineers,0.32748356461524963,global_similarity,17-2111.02,fire prevention and protection engineers,0.32748356461524963,11-9121.01,clinical research coordinators,0.23434308171272278,13-1161.00,market research analysts and marketing specialists,0.22587928175926208
159424,30.0,hardware systems engineer electric,15-1299.08,computer systems engineers architects,0.3643162250518799,global_similarity,15-1299.08,computer systems engineers architects,0.3643162250518799,13-1082.00,project management specialists,0.33702322840690613,15-1299.00,computer occupations all other,0.31375715136528015
159787,50.0,associate quantitative research,13-2099.01,financial quantitative analysts,0.7342053651809692,global_similarity,13-2099.01,financial quantitative analysts,0.7342053651809692,25-4012.00,curators,0.1630508005619049,13-1161.00,market research analysts and marketing specialists,0.1517464965581894
160601,30.0,asic design engineer electrical en,17-2071.00,electrical engineers,0.502605676651001,global_similarity,17-2071.00,electrical engineers,0.502605676651001,17-2131.00,materials engineers,0.40919768810272217,17-3023.00,electrical and electronic engineering technologists and technicians,0.38835692405700684
